Project URL,SHA Detected,Module Path,Fully-Qualified Test Name (packageName.ClassName.methodName),Category,Status,PR Link,Notes
https://github.com/apache/servicecomb-java-chassis,eb2961c6b4339c1c34622241cfb5f730fcd35a13,swagger/swagger-generator,org.apache.servicecomb.swagger.generator.core.processor.annotation.SwaggerDefinitionProcessorTest.should_process_security_oauth2,ID,,,
https://github.com/apache/flink,23c9b5ac50d04d28a34a87c78eb2d3331c06b74b,flink-tests,org.apache.flink.test.misc.GenericTypeInfoTest.testSerializerTree,ID,,,
https://github.com/espertechinc/esper,590fa9c9eb854f1420b9d337b802aca19f963cc0,regression-run,com.espertech.esper.regressionrun.suite.client.TestSuiteClientMultitenancy.testClientMultitenancyProtected,ID,,,
https://github.com/apache/nifi,2bd752d868a8f3e36113b078bb576cf054e945e8,nifi-nar-bundles/nifi-aws-bundle/nifi-aws-processors,org.apache.nifi.processors.aws.wag.TestInvokeAmazonGatewayApiMock.testSendQueryParams,ID,,,
https://github.com/twitter/GraphJet,dbb652a99b6213ddb5892ae6e3396ef10fa0279b,graphjet-core,com.twitter.graphjet.algorithms.salsa.SalsaTest.testSalsaWithRandomGraph,ID,,,
https://github.com/apache/nifi,2bd752d868a8f3e36113b078bb576cf054e945e8,nifi-registry/nifi-registry-core/nifi-registry-framework,org.apache.nifi.registry.security.ldap.tenants.LdapUserGroupProviderTest.testSearchGroupsWithNameAndUserIdentityCnAttribute,ID,,,
https://github.com/apache/ignite-3,a1aa7fd4e2398c72827777ec5417d67915ff4da3,modules/configuration,org.apache.ignite.internal.configuration.notifications.ConfigurationAnyListenerTest.testAnyListenerNotificationOnRename,ID,,,
https://github.com/alibaba/wasp,b2593d8e4b31ca6da0cd2f3e18356338d9b6dace,.,com.alibaba.wasp.fserver.redo.TestRedoLog,ID,,,
https://github.com/apache/nifi,2bd752d868a8f3e36113b078bb576cf054e945e8,nifi-registry/nifi-registry-core/nifi-registry-framework,org.apache.nifi.registry.security.ldap.tenants.LdapUserGroupProviderTest.testReferencedUserWithoutDefiningReferencedAttribute,ID,,,
https://github.com/wildfly/wildfly,b19048b72669fc0e96665b1b125dc1fda21f5993,dist,org.wildfly.dist.subsystem.xml.StandardConfigsXMLValidationUnitTestCase.testHost,ID,,,
https://github.com/apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-httpfs,org.apache.hadoop.test.TestHFSTestCase.waitForTimeOutRatio1,ID,,,
https://github.com/apache/helix,917b786e4da9a615c5177f27256e170feae2298f,helix-rest,org.apache.helix.rest.metadatastore.TestZkMetadataStoreDirectory.testGetAllShardingKeys,ID,,,
https://github.com/spring-projects/spring-data-couchbase,8c1a24c61934fff283a540fa830aa516db9a1059,.,org.springframework.data.couchbase.core.mapping.MappingCouchbaseConverterTests.idHasMultiplePrefixesAndSuffixesSameOrder,ID,,,
https://github.com/google/guice,e0f12160dd854bf0106ed94d2a36125bad1b577c,throwingproviders,com.google.inject.throwingproviders.CheckedProviderTest.testProviderMethodWithSuperclassExceptionFails,ID,,,  
https://github.com/apache/flink,23c9b5ac50d04d28a34a87c78eb2d3331c06b74b,flink-table/flink-table-planner-blink,org.apache.flink.table.planner.expressions.SqlExpressionTest.testArithmeticFunctions,ID,,,https://github.com/apache/nifi,2bd752d868a8f3e36113b078bb576cf054e945e8,nifi-nar-bundles/nifi-standard-bundle/nifi-standard-processors,org.apache.nifi.processors.standard.TestConvertRecord.testDateConversionWithUTCMinusTimezone,ID,,,
https://github.com/google/guice,e0f12160dd854bf0106ed94d2a36125bad1b577c,throwingproviders,com.google.inject.throwingproviders.CheckedProviderTest.testBindingToInterfaceWithExtraMethod_Provides,ID,,,  
https://github.com/apache/nifi,2bd752d868a8f3e36113b078bb576cf054e945e8,nifi-registry/nifi-registry-core/nifi-registry-framework,org.apache.nifi.registry.security.ldap.tenants.LdapUserGroupProviderTest.testSearchUsersAndGroupsMembershipThroughUsersCaseInsensitive,ID,,,
https://github.com/apache/pinot,ecf41be2ecd007853c2db19e1c6a038cf356cb9e,pinot-core,org.apache.pinot.queries.ExplainPlanQueriesTest.testSelectAggregate,ID,,,
https://github.com/webx/citrus,adfceaab120661e78ee7608f3335eaf863693a38,webx/framework,com.alibaba.citrus.webx.config.WebxConfigurationTests.components_default,ID,,,
